Page ID,Page name,Disclaimer,Amount spent (THB)
161651553861945,Amnesty International Thailand,Amnesty International Thailand,2602
101274425792459,กิตติพงศ์ รวยฟูพันธ์ - ส.ก.ไอซ์ เขตทุ่งครุ,กิตติพงศ์ รวยฟูพันธ์ - ส.ก.ไอซ์ เขตทุ่งครุ,2297
157659344260788,จุรินทร์ ลักษณวิศิษฏ์ Aoodda,Ruthaikan Tanomkerd,1225
102807719039442,พรรครวมไทยสร้างชาติ United Thai Nation Party,พรรครวมไทยสร้างชาติ United Thai Nation Party,1093
296508406790,"Democrat Party, Thailand พรรคประชาธิปัตย์","Democrat Party, Thailand พรรคประชาธิปัตย์",773
101535845426970,พรรคไทยสร้างไทย,พรรคไทยสร้างไทย,759
103943018154038,บุญสืบ จันทร์แจ่มศรี ปุ๊,บุญสืบ จันทร์แจ่มศรี,723
105347558390671,นริสสร แสงแก้ว,Attaporn Pohkaew,614
107449532000210,ธิติวัฐ อดิศรพันธ์กุล - Thitiwat Adisornphankul,ธิติวัฐ อดิศรพันธ์กุล - Thitiwat Adisornphankul,365
108508377637861,มุ้งจีบพระราม2 โรงงานผลิตมุ้งจีบ มุ้งลวด เหล็ดดัดทุกชนิด,กุหลาบ บัวสด,351
626952517700280,ลิ้ม ศรัณยสัณฑ์ วีรกุลสุนทร ว่าที่ผู้สมัคร ส.ส. เขตจอมทอง พรรคเพื่อไทย,ลิ้ม ศรัณยสัณฑ์ วีรกุลสุนทร ว่าที่ผู้สมัคร ส.ส. เขตจอมทอง พรรคเพื่อไทย,314
345127652279503,มูลนิธิสากลเพื่อคนพิการ,มูลนิธิสากลเพื่อคนพิการ,248
414100949350619,ณัฐนันท์ กัลยาศิริ - ทนายบอน,ณัฐนันท์ กัลยาศิริ,233
100530401779420,พรรคไทยภักดี,พรรคไทยภักดี,233
112969264517494,เพ็ญพิสุทธิ์ จินตโสภณ - Penpisut Jintasophon,Vatcharapong Wongkom,149
241115389300595,คุณหญิงสุดารัตน์ เกยุราพันธุ์ Sudarat Keyuraphan,คุณหญิงสุดารัตน์ เกยุราพันธุ์ Sudarat Keyuraphan,129
102264295456894,Sirin Sanguansin - สิริน สงวนสิน,Lidear Nunarnan,121
1635406246730420,วรงค์ เดชกิจวิกรม - Warong Dechgitvigrom,วรงค์ เดชกิจวิกรม - Warong Dechgitvigrom,117
106561034744198,ลอรี่ - พงศ์พล ยอดเมืองเจริญ,ลอรี่ - พงศ์พล ยอดเมืองเจริญ,111
104427797605274,ดร.เฉลิมชัย ศรีอ่อน รัฐมนตรีว่าการกระทรวงเกษตรและสหกรณ์,ดร.เฉลิมชัย ศรีอ่อน รัฐมนตรีว่าการกระทรวงเกษตรและสหกรณ์,102
104134765098843,ทศพล โชติคุตร์ - ผกก.หนุ่ย,ทศพล โชติคุตร์ - ผกก.หนุ่ย,102
107535498701936,ธาม สมุทรานนท์ - Tharm Smuthranond,Yonlapat Wangsarn,≤100
279457458842476,InnovestX,These ads ran without a disclaimer,≤100
985820164804495,ธนาคารพัฒนาวิสาหกิจขนาดกลางและขนาดย่อมแห่งประเทศไทย,ธนาคารพัฒนาวิสาหกิจขนาดกลางและขนาดย่อมแห่งประเทศไทย,≤100
567743816917663,The Article,The Article,≤100
204862942932993,Nikkei Asia,These ads ran without a disclaimer,≤100
530945957405983,Nitipon Piwmow - นิติพล ผิวเหมาะ,Nitipon Piwmow,≤100
101959916080752,อาจารย์มังตา-มนต์ขลังเขมรชั้นครู,These ads ran without a disclaimer,≤100
111020164096996,ธัญธร ธนินวัฒนาธร - Thanyathorn Dhaninwattanathorn,ธัญธร ธนินวัฒนาธร - Thanyathorn Dhaninwattanathorn,≤100
253854767968462,Asia Research News,These ads ran without a disclaimer,≤100
102250712237397,สรุปกฎหมาย ก.พ. by Short Note,These ads ran without a disclaimer,≤100
1245787372170126,Somboonpattana Stainless Kitchen ผลิตและติดตั้งครัวสแตนเลสครบวงจร,These ads ran without a disclaimer,≤100
129602281218084,Pongwat T. - ผู้สมัคร สส กทม เขต 6 พรรคเสรีรวมไทย,Pongwat Tunnukul,≤100
277320192288594,โอม จิรชาติ,โอม จิรชาติ,≤100
111314055092654,Kaizen,These ads ran without a disclaimer,≤100
107541811520957,ตราตรึง Tratung -  ของแต่งบ้านดีไซน์เก๋,These ads ran without a disclaimer,≤100
103668907891539,การเมือง Kanmuang,การเมือง Kanmuang,≤100
601953326929372,ธัญวัจน์ กมลวงศ์วัฒน์ - Tunyawaj Kamolwongwat,Tunyawaj Kamolwongwat,≤100
115922723434700,ครูเจพีสรุปย่อ for Teacher,Wimonrat Noyyangdang,≤100
111341764925564,สำนักสนับสนุนการพัฒนาระบบสุขภาพ - สำนัก 7 สสส.,สำนักสนับสนุนการพัฒนาระบบสุขภาพ - สำนัก 7 สสส.,≤100
105711950893323,The Modernist,บริษัท โอพีเนียน มีเดีย จำกัด,≤100
256562988507540,Like Anutin,Like Anutin,≤100
103986582301984,เนื้อ นา บุญ,Phrathanakrit Upachai,≤100
107612328588715,The Voters,สันติสุข กาญจนประกร,≤100
494189467277672,Agenda,บริษัท ดิ อาเจนด้า จำกัด,≤100
100240152175449,ป้าโส FC by Tacina,Dunyawat  Bamrungchan,≤100
294518014039555,With Love by Jamsai,These ads ran without a disclaimer,≤100
190923294988741,สอบครูผู้ช่วยนะ,สอบครูผู้ช่วยนะ,≤100
114914794432449,กฎหมายใช้สอบราชการ by Æ+,กฎหมายใช้สอบราชการ by Æ+,≤100
100298682713615,เสื้อวินเทจ ลายมัน ผ้าดำ,เสื้อวินเทจ ลายมัน ผ้าดำ,≤100
110256398069518,พิมพ์กาญจน์ กีรติวิราปกรณ์ - Pimkarn Kiratiwirapakorn,Pimkarn Kiratiwirapakorn,≤100
234345809961492,ส.ส.จ๋า วชิราภรณ์ กาญจนะ,ส.ส.จ๋า วชิราภรณ์ กาญจนะ,≤100
110144991464196,กรอบลอยไวนิล แคนวาส บอร์ดไดคัท 99 บาท มีเก็บปลายทาง,Sakawtip Utha,≤100
113954228165234,Thanks Vintage,These ads ran without a disclaimer,≤100
309527089143639,ถามอีก กับอิก Tam-Eig,These ads ran without a disclaimer,≤100
106746732151512,Project Magnolia,These ads ran without a disclaimer,≤100
105505101947250,ปัญญารัตน์ นันทภูษิตานนท์ - Panyarut Nuntapusitanon,ปัญญารัตน์ นันทภูษิตานนท์ - Panyarut Nuntapusitanon,≤100
8505118170,PETRONAS,These ads ran without a disclaimer,≤100
1452232881531908,UNICEF East Asia & Pacific,These ads ran without a disclaimer,≤100
1556481434584901,Paul Xavier,These ads ran without a disclaimer,≤100
155677885272,RFI 华语 - 法国国际广播电台,These ads ran without a disclaimer,≤100
1517088885216557,AIG,These ads ran without a disclaimer,≤100
45413563867,The Free and Equal Elections Foundation,These ads ran without a disclaimer,≤100
220752338451594,Best Tabletop Games Crowdfunding Projects,These ads ran without a disclaimer,≤100
